player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Anthony Barr (20142017) ,OLB ,MIN ,MIN ,23,4,12743500,3185875,12743500,100,2018
Jason Jones (20132015) ,DE ,DET ,DET ,29,3,9500000,3166667,2500000,26.32,2016
Dee Milliner (20132016) ,CB ,NYJ ,NYJ ,23,4,12661000,3165250,12661101,100,2017
Luke Kuechly (20122016) ,ILB ,CAR ,CAR ,24,4,12578602,3144651,12578602,100,2017
Lee Smith (20152017) ,TE ,OAK ,OAK ,27,3,9350000,3116667,3100000,33.16,2018
Graham Gano (20142017) ,K ,CAR ,CAR ,28,4,12400000,3100000,3950000,31.85,2018
Joique Bell (20142016) ,RB ,DET ,DET ,29,3,9300000,3100000,4300000,46.24,2017
Phil Dawson (20142015) ,K ,SF ,SF ,40,2,6134000,3067000,3500000,57.06,2016
Eric Ebron (20142017) ,TE ,DET ,DET ,22,4,12249149,3062287,12249149,100,2018
Corey Peters (20152017) ,DT ,ARI ,ARI ,27,3,9150000,3050000,5750000,62.84,2018
Chance Warmack (20132016) ,G ,TEN ,TEN ,23,4,12166652,3041663,12166652,100,2017
